wn_obs,wn_obs_unc,I_obs,snr_obs
25.429294064722782,1.3669156504e-05,2785.4921684,13.809320036
25.430192810906462,5.8740005103e-06,6877.8425963,33.522646614
25.4305673862366,1.2713352677e-05,987.72436218,7.0455566899
25.431080608536128,1.1216417182e-05,2689.8513755,16.927611345
25.43185164287508,2.0024528562e-05,3503.0138551,12.580000013
25.43490771245513,1.4148613826e-06,15256.242787,83.709089825
25.435781317379234,2.3285756428e-05,1396.8242142,5.2697939523
25.43619309244962,3.1331949531e-06,7914.8149783,35.997325961
25.436505757557388,7.4531783521e-06,4088.9460701,25.766593069
25.43676109396512,1.4045394995e-05,1634.7414864,11.23354787
25.43841633209588,1.4645251356e-06,12406.115985,77.29587781
25.43951374378644,1.4932580473e-05,1483.2386461,7.2355936943
25.439984912999268,1.6910034247e-05,1296.102641,10.166658329
25.44027752035581,1.3105041046e-05,1980.586691,13.384121085
25.44077469947966,1.2732163075e-05,623.91247964,6.0158493379
25.44109339990505,2.4764899401e-06,12000.588254,49.925038401
25.441403543911466,1.053912643e-05,1251.5985193,8.6848794428
25.44180322018078,2.1587085476e-06,10804.762047,82.018216464
25.44290176745546,1.2124519971e-06,73558.768488,495.24477646
25.443679363644716,1.7644479121e-05,764.50361529,5.2131923197
25.44612820367621,5.6203713893e-06,3940.7772434,19.495952972
25.44635396370088,1.5052695492e-05,859.17356748,6.0348389658
25.44701698709463,5.6289173082e-06,5547.0522275,21.845871511
25.44761156615518,1.494932374e-05,2621.3837239,12.658326973
25.44855216569206,1.326297739e-05,832.68756046,6.4967886597
25.44885251498108,2.5504816408e-06,7848.5587447,39.087479337
25.44911634505633,4.492365708e-06,5037.7504225,24.707647781
25.44962286493441,1.7490888805e-05,1784.9329397,6.9831326459
25.450192667259405,1.0344031818e-05,1360.0544573,9.0557216996
25.45054051065869,2.9810351827e-05,1068.0971602,4.1230303341
25.45094794664649,1.6944164018e-05,695.66859559,5.2026703178
25.4516661203576,1.7907199065e-05,1131.0982093,5.8837283724
25.45230940023584,1.5927407691e-05,3466.7748095,9.2723851579
25.452640791646054,8.8402131302e-06,3211.5805623,12.195989774
25.45335503982658,1.3630861863e-05,1980.5738599,8.5264207124
25.45354453044546,1.6905931012e-05,2139.8976925,11.193728103
25.45393049665504,1.7283597614e-05,2451.0760876,12.035018125
25.45538500400279,9.1774216838e-06,5516.9054366,23.455191172
25.45665609733799,1.2768607351e-06,17374.23854,99.255070881
25.45686664063384,1.1976014663e-06,119643.04515,903.77993954
25.457192108946927,9.0459689075e-06,3986.8204844,13.500501368
25.457446993891768,6.1026283339e-06,4977.5433243,31.338358975
25.458799913717,4.7655757981e-06,3118.086363,20.304445225
25.46008840691059,1.3553649028e-06,16685.310611,92.634265805
25.4605598383703,1.1686833118e-05,1293.0583398,8.2057003293
25.46195542073075,1.9540445492e-05,1636.605907,6.3159621307
25.46279747200209,1.1891925509e-06,14815.175655,100.11552309
25.46333625169115,1.5185064515e-05,2587.5156192,13.052275047
25.465245480567678,8.4749214708e-06,3689.5199355,21.777379442
25.465590136846412,9.3349822706e-06,1188.8301519,9.3347481932
25.465843672371324,7.1856664579e-06,2672.6873403,13.927532119
25.46641483666436,2.3030670926e-06,20153.164029,102.8999999
25.466925152316637,9.7632797213e-06,1629.8063292,10.028835368
25.46734492291883,2.2489318935e-05,914.97379526,4.7484143103
25.46756553180484,6.7337973349e-06,5032.5598155,27.018053659
25.46933325094116,1.5199244557e-06,11162.315958,69.998609961
25.47063526041756,2.7851232898e-06,21303.558862,89.499999911
25.471271746107927,1.7363598926e-05,1168.5655402,6.1300736783
25.471903219776284,2.6392483279e-05,1608.8034266,5.1734626333
25.472350931431073,2.2197232759e-05,1151.747056,5.1915601899
25.47276871286274,1.7615493512e-05,1699.3224585,6.8864919914
25.47385121638573,1.1820395795e-06,40027.969225,315.79897134
25.474407906786006,1.2565665303e-05,1070.5992782,7.3788043183
25.47459854924492,9.0261481394e-06,2340.3724489,11.07685693
25.47506987312213,8.8258854782e-06,3540.7760214,20.936962699
25.47588962704036,3.3566784504e-06,7862.0649087,54.57681729
25.47717374857287,3.2385335816e-06,4391.3405197,30.034242653
25.47740809239447,7.1208901116e-06,4419.7450093,16.424614312
25.478515528206923,1.2589190809e-05,2107.2833439,9.2782061859
25.47957583552089,3.8816395803e-06,8954.4117283,49.269189327
25.480517005446433,8.670611806e-06,2044.2822433,11.862363082
25.481578717051725,2.1464269629e-05,934.29474966,4.9658616542
25.48282101397431,1.6280511627e-06,11504.133691,67.751502874
25.48328895049463,8.078630351e-06,4167.994777,24.840004896
25.48397363295501,1.0557402266e-05,2898.8608992,18.482818874
25.48420531616452,1.1074663443e-05,702.26454948,7.0595797833
25.484782235561887,3.0775640959e-06,15906.167342,74.666741937
25.48513555012111,1.7277507813e-05,2314.362378,11.959451025
25.48612247199844,4.102459625e-05,1459.8424085,3.7505844108
25.48655757812908,1.8151333987e-06,7762.878116,54.573555136
25.487234290354802,1.7447488709e-05,820.60171942,5.4859683444
25.4881542578247,2.3084182028e-06,6795.9872047,44.363777074
25.4886464173985,1.1497506442e-05,2916.6412532,17.290777551
25.48988766304597,3.5136263998e-06,2536.814058,23.291477807
25.49085881353687,7.0705843572e-06,1896.8087661,13.329711219
25.491874517353452,1.9166046424e-06,8429.2574172,53.871774083
25.492964921145685,1.2588631293e-05,2226.5220944,9.5091139753
25.493762684191193,1.8176983135e-05,2752.6329634,12.837948015
25.494580694672763,8.5325151646e-06,890.23385423,9.12093597
25.49513931631924,7.137992681e-06,5841.240501,28.440955756
25.49548367364682,9.0468748542e-06,939.20353554,8.9458633938
25.49621803478953,1.1948938715e-05,626.32462524,6.4890007054
25.496711516211597,1.2452913005e-06,297972.53832,2037.5542166
25.49742455634164,1.68651947e-05,1466.9689273,6.8244724866
25.499386902673297,1.1533631413e-05,1073.3556708,7.9136505446
25.500666270038252,1.1227925559e-05,935.0738291,7.7303154466
25.50131525524932,1.3577439983e-05,1933.3258665,8.6549894304
25.50189328610904,6.8669285396e-06,5273.6693192,28.452355081
25.50225001481636,3.1241917028e-06,5601.2200606,33.750174063
25.50350038483264,1.2345503448e-06,80665.954474,568.84716415
25.504001417899328,2.1101954286e-06,30665.371443,171.90841547
25.504712421951325,1.6648837703e-05,568.67398218,5.0433460184
