lev_id,E_calc,J,P,lev_name
67,13.40406,13/2,0,id 67 E_c 13404.06 4f(4)5I1.5d_6G 13/2
68,13.4272,13/2,1,id 68 E_c 13427.2 4f(3)4I1.5d_5L.6s_4L 13/2
69,13.46591,15/2,1,id 69 E_c 13465.91 4f(3)4I1.5d_5K.6s_6K 15/2
70,13.6491,5/2,0,id 70 E_c 13649.1 4f(4)5F1.6s_6F 5/2
71,13.69416,11/2,0,id 71 E_c 13694.16 4f(4)5I1.5d_4K 11/2
72,13.71606,7/2,0,id 72 E_c 13716.06 4f(4)5I1.5d_4G 7/2
73,13.71643,17/2,1,id 73 E_c 13716.43 4f(3)4I1.5d_5L.6s_6L 17/2
74,13.71954,11/2,1,id 74 E_c 13719.54 4f(3)4I1.5d_5K.6s_4K 11/2
75,14.20271,7/2,0,id 75 E_c 14202.71 4f(4)5F1.6s_6F 7/2
76,14.35382,5/2,1,id 76 E_c 14353.82 4f(3)4I1.5d(2)3F2_6H 5/2
77,14.36863,11/2,0,id 77 E_c 14368.63 4f(4)5I1.5d_6H 11/2
78,14.382,9/2,0,id 78 E_c 14382.0 4f(4)5I1.5d_4I 9/2
79,14.51109,13/2,1,id 79 E_c 14511.09 4f(3)4I1.5d(2)3F2_6I 13/2
80,14.56222,3/2,0,id 80 E_c 14562.22 4f(4)5F1.6s_4F 3/2
81,14.66331,17/2,0,id 81 E_c 14663.31 4f(4)5I1.5d_4L 17/2
82,14.67866,13/2,0,id 82 E_c 14678.66 4f(4)5I1.5d_6H 13/2
83,14.74032,7/2,1,id 83 E_c 14740.32 4f(3)4I1.5d_5I.6s_6I 7/2
84,14.76119,19/2,1,id 84 E_c 14761.19 4f(3)4I1.5d(2)3F2_6L 19/2
85,14.77065,17/2,1,id 85 E_c 14770.65 4f(3)4I1.5d(2)3F2_6K 17/2
86,14.78322,7/2,1,id 86 E_c 14783.22 4f(3)4I1.5d(2)3F2_6H 7/2
87,14.88512,9/2,0,id 87 E_c 14885.12 4f(4)5F1.6s_6F 9/2
88,14.91623,5/2,0,id 88 E_c 14916.23 4f(4)5S0.6s_6S 5/2
89,14.92954,13/2,0,id 89 E_c 14929.54 4f(4)5I1.5d_4K 13/2
90,14.94442,17/2,1,id 90 E_c 14944.42 4f(3)4I1.5d_5K.6s_6K 17/2
91,15.13455,9/2,0,id 91 E_c 15134.55 4f(4)5I1.5d_4G 9/2
92,15.16644,15/2,1,id 92 E_c 15166.44 4f(3)4I1.5d(2)3F2_4L 15/2
93,15.17812,5/2,0,id 93 E_c 15178.12 4f(4)5F1.6s_4F 5/2
94,15.22797,9/2,1,id 94 E_c 15227.97 4f(3)4I1.5d_5I.6s_6I 9/2
95,15.37593,19/2,1,id 95 E_c 15375.93 4f(3)4I1.5d_5L.6s_6L 19/2
96,15.53371,9/2,1,id 96 E_c 15533.71 4f(3)4I1.5d(2)3F2_6H 9/2
97,15.614,13/2,0,id 97 E_c 15614.0 4f(4)5I1.5d_4H 13/2
98,15.62845,13/2,1,id 98 E_c 15628.45 4f(3)4I1.5d_5K.6s_4K 13/2
