wn_calc,gA_calc,upper_lev_id,lower_lev_id
16.804,777000,377,34
15.873,2071800,377,43
19.121,15474000,384,21
20.108,650400,483,34
17.419,623400,497,72
17.539,1320600,501,72
20.743,823800,537,43
22.17,2188200,558,34
21.24,20760000,558,43
18.925,3154200,558,72
22.26,1371600,598,43
26.533,2013600,656,21
23.59,1926600,656,43
27.272,2487000,607,21
24.329,1086000,607,43
28.616,3280000,652,246
23.919,2171200,652,384
14.56,1009800,504,119
16.477,2534400,583,119
12.056,910800,516,170
14.664,1385400,634,202
11.608,824400,612,231
10.483,811200,491,188
12.475,1116000,279,45
12.853,1995200,289,45
15.819,2882400,285,21
16.036,927200,352,34
16.501,1270400,365,34
19.617,1849600,401,21
15.704,1013600,401,54
14.893,1015200,421,72
17.695,993600,439,43
19.734,2308000,471,34
19.531,874400,491,43
20.56,861600,527,43
34.754,3254400,652,119
32.711,1681600,652,150
32.039,2256800,652,164
31.883,3251200,652,170
30.38,5437600,652,202
29.631,7564000,652,218
29.107,24736000,652,231
27.22,2739200,652,285
26.462,14976000,652,307
26.339,2211200,652,309
25.471,9976000,652,343
24.527,1216800,652,365
22.401,2540800,652,439
20.565,837600,652,491
18.213,26352000,285,14
18.971,4481600,307,14
19.962,1024800,343,14
13.783,1247200,343,53
11.645,1028000,343,78
15.32,3347200,352,41
14.728,1172000,365,53
13.66,1046400,365,62
18.887,16184000,401,23
19.42,961600,421,23
17.421,846400,421,41
16.365,1266400,421,53
14.227,863200,421,78
19.908,1620000,439,23
14.715,1024000,439,78
19.017,6695200,471,41
15.823,947200,471,78
18.689,1573600,491,53
16.551,2204800,491,78
19.718,2080800,527,53
17.916,979200,542,78
17.404,936000,552,91
26.833,1617600,566,14
20.655,2905600,566,53
21.198,4090400,592,53
19.06,1664000,592,78
21.665,4428000,611,53
18.774,1149600,611,91
13.029,3978000,123,7
10.409,1631000,280,71
17.844,3459000,298,16
18.328,35200000,310,16
14.947,3747000,370,50
14.374,1869000,388,64
17.48,1313000,454,50
16.404,1529000,465,71
16.664,2188000,478,71
27.806,2735000,521,7
16.136,3061000,521,99
19.437,1915000,563,64
16.498,1575000,573,117
26.51,1247000,589,16
20.236,4186000,593,64
17.899,1194000,593,99
20.931,2333000,630,64
17.699,2335000,630,117
13.912,1035200,279,33
14.29,1660000,289,33
17.829,1052000,609,107
12.406,1281600,546,175
10.039,1295200,588,260
10.76,845600,620,260
41.355,2384000,652,33
35.965,1216800,652,96
35.442,5598400,652,107
31.957,3350400,652,167
31.566,9272000,652,175
29.874,25528000,652,213
27.395,4959200,652,280
26.945,2266400,652,294
26.773,2660000,652,298
26.289,2049600,652,310
25.311,18488000,652,347
23.772,8200000,652,388
23.695,14840000,652,390
10.983,3671000,123,14
19.144,2634000,310,14
16.021,2933000,310,23
15.866,1727000,367,41
16.539,1036000,388,41
15.224,1024000,478,91
25.76,2797000,521,14
18.951,1546800,224,5
29.431,1342800,488,2
30.651,6746400,533,2
31.26,16392000,559,2
31.78,12900000,580,2
30.064,3069600,580,5
31.025,8148000,624,5
32.873,7078800,629,2
29.63,2410800,533,4
30.239,2107200,559,4
31.721,9693600,624,4
31.852,5073600,629,4
22.982,1489200,265,1
21.74,3346800,265,3
24.969,1562400,320,1
32.117,2403600,559,1
32.637,2010000,580,1
25.424,4551400,359,2
33.127,5377400,638,2
30.176,18592000,555,4
32.105,39410000,638,4
30.025,5485200,638,8
29.037,7203000,555,6
28.591,1472800,638,12
13.742,289400,408,80
17.817,227400,614,109
21.506,1814400,339,8
22.155,2097600,356,8
28.929,4616000,591,8
31.073,1846400,651,8
20.072,2036800,339,12
31.298,2603200,651,6
32.015,22000000,651,6
30.789,4993600,651,9
22.023,4966200,398,12
23.122,1958400,437,12
25.677,540000,653,109
19.745,1662600,570,61
20.914,2034600,392,246
19.389,647400,570,70
22.978,951000,392,202
21.928,613200,392,218
21.405,2864400,392,231
21.705,1296000,392,231
18.636,2550600,392,309
19.55,1628400,425,309
31.962,4221600,527,0
24.237,825600,343,3
31.414,4860000,527,1
31.652,1056800,592,3
30.421,1565000,521,2
31.385,2721000,563,2
31.823,1087000,584,2
31.986,1187000,589,2
22.314,1079000,280,3
29.551,1011000,465,1
31.277,2826000,521,1
32.241,1864000,563,1
32.843,2018000,589,1
35.448,1609000,465,3
17.194,1106000,465,178
15.453,1272000,165,7
20.438,3326400,556,50
28.271,1219200,518,16
18.144,1628200,524,74
15.647,1311600,192,10
19.211,3754800,556,67
27.35,7160400,518,18
22.908,1644000,518,53
12.616,1537200,235,31
15.557,2217600,189,10
17.685,1758400,235,10
16.661,4785200,235,13
17.034,2076200,250,13
24.801,1127600,636,27
14.791,223400,636,172
17.288,6523200,257,13
21.326,2112000,468,22
16.175,1910400,257,17
17.124,2010600,283,17
22.372,3952800,540,28
17.523,2320200,334,20
23.992,2044800,540,20
17.045,2210000,314,20
25.807,727200,451,30
23.342,499600,451,56
17.393,675600,369,27
22.342,1431000,531,27
20.531,3706800,531,44
19.575,1608000,531,56
20.602,2167800,535,44
19.647,2286600,535,56
23.743,927000,453,56
20.696,1747200,535,43
33.918,1344000,652,135
30.786,84160000,652,195
30.058,1313600,652,209
24.421,26792000,652,369
17.65,1016000,385,30
19.915,1239200,461,30
19.43,1281600,461,34
18.499,1110400,461,43
19.894,2110400,502,43
33.605,1460800,652,140
32.913,2800000,652,149
31.994,9288000,652,166
28.269,2332000,652,256
23.863,7383200,652,385
21.598,1972800,652,461
20.509,6680000,652,492
20.203,4923200,652,502
16.512,1489600,655,652
13.835,1552000,549,149
21.571,4277600,385,14
18.188,962400,447,41
18.713,2115200,461,41
20.108,1006400,502,41
27.75,1580000,605,14
24.132,1605000,402,7
21.518,3519000,412,16
27.93,19960000,650,16
24.801,1405000,650,31
28.166,43830000,650,16
25.037,2895000,650,31
20.679,3150000,650,77
26.588,1023000,650,21
23.646,4522000,650,43
22.676,2913000,650,54
32.703,7940800,652,151
30.132,2723200,652,207
29.04,28960000,652,234
26.241,1628000,652,312
22.561,1008000,652,432
26.224,2342000,643,32
22.086,1497000,402,14
21.657,2987000,565,41
20.6,7886000,565,53
19.533,1140000,565,62
28.746,4447000,650,14
25.622,3757000,650,23
21.5,2458000,650,62
28.982,1117000,650,14
25.858,4821000,650,23
21.736,8926000,650,62
22.499,69444000,550,29
23.145,1.2876e+09,571,29
24.713,1.542e+08,645,29
25.127,1.422e+08,550,29
21.46,2.2908e+08,550,38
22.106,2718000,571,38
23.674,6.9768e+08,645,38
24.088,6417600,550,38
18.702,1.062e+08,550,74
20.916,3255600,645,74
21.33,3.9336e+08,550,74
16.919,2365200,550,143
13.967,2737200,550,147
16.595,5322000,550,147
12.949,4807200,550,165
13.595,3507600,571,165
15.576,5305200,550,165
14.047,10370400,645,192
14.461,2976000,550,192
22.103,8.1004e+08,530,29
24.147,28742000,619,29
21.064,5066600,530,38
23.108,9.7454e+08,619,38
18.306,36190000,530,74
20.35,1.1151e+08,619,74
13.895,1764000,530,143
13.571,4083800,530,147
15.615,1461600,619,147
12.553,6447000,530,165
13.481,17738000,619,192
23.395,1.006e+08,587,29
22.355,3.32e+08,587,38
19.598,1.397e+08,587,74
14.863,1039000,587,147
21.515,69540000,550,36
22.161,1.518e+08,571,36
23.729,1.8216e+08,645,36
24.143,25428000,550,36
20.295,2557200,550,49
22.509,3.1908e+08,645,49
22.923,2.1984e+08,550,49
18.994,1.164e+08,550,68
19.641,26940000,571,68
21.208,4849200,645,68
21.622,1.16172e+08,550,68
19.007,37692000,645,98
19.421,47976000,550,98
14.842,3668400,550,180
21.119,3.7338e+08,530,36
23.163,45038000,619,36
21.943,3.927e+08,619,49
18.598,4.0782e+08,530,68
20.642,4306400,619,68
16.397,2266600,530,98
18.441,52752000,619,98
11.818,2224600,530,180
11.527,4489800,530,189
13.572,5562200,619,189
22.957,8.7328e+08,608,36
21.737,2216000,608,49
20.437,1.4384e+08,608,68
18.235,32224000,608,98
13.657,4800000,608,180
13.366,3769600,608,189
13.093,1977600,608,197
19.815,3136000,530,52
21.859,81690000,619,52
20.604,6386800,619,69
16.202,2105600,530,103
21.653,6.16e+08,608,52
18.041,28528000,608,103
16.394,1830400,608,131
12.694,8185600,608,204
20.147,5571200,608,73
16.013,1988800,608,137
18.577,2324000,587,83
15.423,2019000,587,140
13.813,23140000,587,166
22.335,8.4324e+08,550,32
22.982,2.34e+08,571,32
24.549,2.9472e+08,645,32
24.963,1.9476e+08,550,32
19.821,2790000,550,94
15.973,4609200,550,115
18.601,26880000,550,115
13.626,18144000,550,151
14.272,2119200,571,151
15.839,5931600,645,151
16.253,32880000,550,151
15.826,1629600,550,157
13.268,10788000,645,207
13.682,9068400,550,207
23.231,6.505e+08,587,32
18.089,3710000,587,94
14.521,12820000,587,151
16.726,1486800,143,2
15.333,1292400,147,5
16.352,6906000,165,5
17.467,12360000,192,5
20.218,2340000,261,5
11.962,1918800,518,173
15.391,1711200,518,173
15.705,5834400,143,4
16.028,2575200,147,4
18.832,9008400,261,8
28.586,1207200,493,4
26.506,2055600,493,8
27.217,7512000,518,8
28.109,3939600,556,8
32.727,1404000,518,4
18.906,1878000,518,112
11.93,1332000,74,3
18.593,1648200,517,59
19.643,4406000,561,59
12.507,1863400,98,5
15.701,2006200,180,8
17.418,6531000,221,8
18.12,9948400,235,8
27.885,10059000,477,4
27.527,3131800,532,8
16.229,2816800,596,129
16.029,9233000,168,6
17.059,3801000,250,12
19.285,9661400,311,12
26.746,1.01612e+08,477,6
28.468,5552400,532,6
26.092,2872800,532,12
27.67,1750000,596,12
18.398,1676600,517,61
12.306,310800,517,162
19.448,4266000,561,61
18.285,3910000,636,109
12.963,2363200,131,8
16.153,2123200,148,4
15.015,19408000,148,6
16.643,9254400,181,6
14.267,3192000,181,12
15.493,1953600,208,12
16.395,4164800,229,12
17.686,10659200,271,12
18.975,22032000,303,12
12.966,2121600,468,125
13.79,2608000,148,9
15.418,1800000,181,9
16.645,12708800,208,9
25.345,15486400,468,9
29.018,6083200,604,9
11.38,1980000,90,6
13.397,3009600,160,12
16.813,2025000,185,6
14.548,1998000,160,9
15.587,34074000,185,9
13.959,4732200,540,145
11.747,2656000,116,9
19.696,677600,564,59
19.501,4084000,564,61
17.867,641200,618,109
21.231,906000,451,80
19.145,5324000,564,70
20.615,8880000,451,93
19.069,2743800,547,61
19.898,1009800,581,61
17.579,648600,603,109
15.845,967200,486,88
16.334,8496000,500,88
18.713,2591400,547,70
19.542,4963200,581,70
21.016,1049400,453,93
15.822,5821200,102,0
27.749,1702400,419,102
27.078,53706000,369,0
17.895,753600,535,75
18.159,4408800,547,75
18.988,7332000,581,75
20.25,9756000,453,105
15.62,1192000,482,88
16.747,2732800,515,88
17.212,9928000,536,88
20.166,1297600,605,70
14.74,12928000,83,0
28.831,3117600,419,83
18.585,831200,149,0
27.636,6545600,385,0
13.365,1798400,502,141
19.613,8504000,605,75
14.192,966400,83,1
15.681,6648800,111,1
16.796,3442400,149,3
17.714,4788000,166,3
27.088,56968000,385,1
25.846,2014400,385,3
29.353,1404000,461,1
28.111,11264000,461,3
30.442,2142400,492,1
29.2,11208000,492,3
30.748,2291200,502,1
29.506,13248000,502,3
29.873,2208000,515,3
18.93,21472000,605,87
13.823,1828000,94,2
15.675,1789000,151,5
16.102,1585000,157,5
17.716,1546000,198,5
18.246,6786000,207,5
26.995,69960000,412,2
25.278,2911000,412,5
27.533,4683000,432,2
25.816,1790000,432,5
18.78,34300000,640,101
33.407,1800000,650,2
18.948,2353000,650,104
31.926,3220000,650,5
33.485,3684800,419,32
14.68,11670000,94,1
15.9,2952000,115,1
14.658,1994000,115,3
18.248,1776000,151,1
17.006,10830000,151,3
19.577,1891000,207,3
27.851,8419000,412,1
26.61,1217000,412,3
28.389,1753000,432,1
17.959,1142000,565,87
19.67,5716000,640,87
34.263,5037000,650,1
34.499,3640000,650,1
10.395,1928400,550,222
13.023,18024000,550,222
10.237,2354400,550,299
12.044,1772400,619,222
11.291,2230000,587,222
11.747,1383600,645,247
10.975,2262400,608,247
10.969,9655200,550,210
11.615,4383600,571,210
13.183,13452000,645,210
13.597,4006800,550,210
10.94,5745600,645,273
10.899,6553200,550,281
11.865,11650000,587,210
15.144,2004000,222,16
12.015,20796000,222,31
20.793,5384400,299,7
17.931,78492000,299,16
11.118,3453600,299,71
10.443,8162400,299,77
13.467,1246800,327,50
12.292,9679200,327,64
11.276,16272000,327,77
17.085,19956000,222,10
14.223,20712000,222,18
19.871,1.5564e+08,299,10
12.718,4111200,299,48
10.133,1716000,299,82
10.03,4810800,327,97
15.96,3202800,222,14
10.838,5682000,222,41
18.747,17712000,299,14
12.568,7366800,299,53
10.43,5084400,299,78
14.457,1212000,327,41
11.262,1742400,327,78
10.51,58188000,327,91
13.802,850200,610,179
12.228,2132000,610,215
11.736,1156600,610,226
16.007,5754000,247,16
12.878,1524600,247,31
10.711,2758000,247,50
18.755,30324000,325,16
15.626,6524000,325,31
10.627,80920000,375,117
15.085,35434000,247,18
11.97,33516000,247,37
20.695,13970600,325,10
17.834,88438000,325,18
13.542,1407000,325,48
10.958,1451800,325,82
10.707,6911800,325,89
13.807,1604400,375,67
12.533,5905200,375,82
11.597,28980000,375,97
10.265,19460000,375,120
16.923,10857000,247,13
14.079,57078000,247,22
10.982,2508800,247,47
19.671,2.296e+08,325,13
12.299,26586000,325,63
24.202,6074000,610,27
14.192,8732000,610,172
16.368,2105600,282,18
10.767,2638400,282,67
11.461,62032000,301,67
10.186,11356800,301,82
11.982,6691200,316,67
19.167,3952000,364,18
16.052,4169600,364,37
13.565,3513600,364,67
12.291,4118400,364,82
11.355,2704000,364,97
10.023,4473600,364,120
16.227,3241600,371,37
13.741,7275200,371,67
12.467,9326400,371,82
11.531,13121600,371,97
10.199,6432000,371,120
18.205,2184000,282,13
15.362,38816000,282,22
12.265,47472000,282,47
12.959,12112000,301,47
21.004,14176000,364,13
18.161,88480000,364,22
15.063,2537600,364,47
10.956,2158400,364,106
21.18,4385600,371,13
18.336,37168000,371,22
15.239,5880000,371,47
11.132,3137600,371,106
17.092,34448000,282,17
14.283,69232000,282,28
11.21,2097600,282,57
17.786,3968000,301,17
14.976,3022400,301,28
11.904,18864000,301,57
10.201,3128000,301,81
18.307,30960000,316,17
15.498,11819200,316,28
10.723,50864000,316,81
19.891,2.5088e+08,364,17
17.081,12483200,364,28
12.306,8318400,364,81
20.066,93840000,371,17
17.257,5006400,371,28
12.482,2054400,371,81
16.559,9819000,414,47
15.514,4737600,317,28
12.441,64908000,317,57
21.386,16299000,414,17
18.577,1.34748e+08,414,28
14.373,1.12122e+08,317,39
