wn_calc,gA_calc,upper_lev_id,lower_lev_id
146.4567,6334000,858,19
146.3535,34180000,860,20
146.3419,62010000,866,42
146.3305,568400,853,17
146.3036,124100,844,14
146.2377,160100,852,17
146.1998,4471000,843,13
146.1603,108300,820,1
146.1501,1423000,819,1
146.1371,1.288e+08,859,20
146.0975,4983000,858,20
145.9934,17660000,838,9
145.9781,464000,860,21
145.9613,3.949e+08,857,20
145.8852,76010000,840,10
145.7617,11350000,859,21
145.7221,622500,858,21
145.6208,13920000,841,11
145.5938,65900000,837,9
145.5859,28500000,857,21
145.5536,766000,840,11
145.5111,1049000,820,2
145.456,653700,862,22
145.4003,1059000,838,10
145.3515,4.222e+08,856,21
145.2837,5716000,863,23
145.2697,517800,815,1
145.2694,3729000,861,22
145.1983,4564000,862,23
145.0687,1841000,838,11
145.0437,1508000,864,38
145.0117,2694000,861,23
145.0015,7.106e+08,865,41
145.0007,9671000,837,10
144.9983,5856000,862,24
144.9131,10450000,864,39
144.7882,116100,811,0
144.6917,445800,816,2
144.6761,36870000,836,10
144.3445,1213000,836,11
144.2306,35340000,862,26
144.1886,4994000,855,19
144.0571,4653000,859,22
144.044,27860000,861,26
144.0206,4462000,835,9
143.9898,65830000,841,12
143.9454,1644000,834,8
143.9167,16720000,863,27
143.8813,921300,857,22
143.8763,31400000,841,13
143.8313,584200,862,27
143.8294,1168000,855,20
143.684,9031000,841,14
143.6699,154900,819,3
143.6447,4244000,861,27
143.5448,1744000,818,3
143.4377,4952000,838,12
143.4335,60940000,832,8
143.4275,326600,835,10
143.4168,302500,848,15
143.3892,1067000,856,23
143.3455,3966000,862,28
143.3412,200100,847,15
143.2016,1.044e+08,831,8
143.1532,14000000,860,25
143.0998,89340000,830,8
143.0959,2816000,835,11
143.0912,2577000,834,9
143.0629,337900,847,16
143.0381,201200,837,12
143.003,465000,806,0
142.9368,1.071e+08,859,25
142.9246,3221000,837,13
142.9106,318800,818,4
142.8972,89400000,858,25
142.882,8206000,854,20
142.8317,6371000,859,26
142.761,91400000,857,25
142.7135,141300,836,12
142.6559,4952000,857,26
142.6,673300,836,13
142.5793,5140000,832,9
142.5559,200000,845,15
142.5282,569700,850,18
142.5066,581900,854,21
142.4981,925800,834,10
142.4816,1698000,833,10
142.4591,20370000,823,8
142.4215,1593000,856,26
142.4077,1529000,836,14
142.3474,3317000,831,9
142.3365,4500000,853,21
142.3083,103700,846,17
142.2776,298600,845,16
142.2537,2455000,801,0
142.2456,56720000,830,9
142.1665,8397000,834,11
142.1553,796700,815,4
142.1326,1.284e+08,829,9
142.086,5314000,828,9
142.0411,2841000,827,9
142.0222,4423000,856,27
141.9705,478700,845,17
141.9309,1.675e+08,861,30
141.8728,16140000,863,32
141.8469,113700,847,18
141.7874,24770000,862,32
141.7543,321300,831,10
141.7252,318100,816,5
141.7094,233900,813,3
141.6761,3.814e+09,864,41
141.654,398400,815,5
141.6525,4927000,830,10
141.6226,117100,844,17
141.6049,7659000,823,9
141.6008,3694000,861,32
141.5395,1233000,829,10
141.5143,73910000,862,33
141.4929,38950000,828,10
141.448,8277000,827,10
141.4227,11460000,831,11
141.4094,301500,806,2
141.3757,134700,817,7
141.3558,322100,816,6
141.3514,722100,835,13
141.3276,324100,802,1
141.3277,32730000,861,33
141.3209,87940000,826,10
141.3209,4604000,830,11
141.3093,251400,801,1
141.2437,10590000,825,10
141.2079,5072000,829,11
141.1613,16460000,828,11
141.1164,33570000,827,11
141.0118,5516000,823,10
140.9893,2003000,826,11
140.935,1.157e+08,860,30
140.9121,14830000,825,11
140.8589,1600000,799,1
140.802,2.335e+08,854,22
140.7186,1783000,859,30
140.6802,22980000,823,11
140.679,8392000,858,30
140.668,17180000,860,31
140.6319,27240000,853,22
140.6291,66950000,855,25
140.5428,19680000,857,30
140.5391,1126000,852,22
140.519,2473000,833,12
140.4619,212200,796,1
140.412,31430000,858,31
140.4055,544900,833,13
140.3742,1.67e+08,853,23
140.3084,545400,856,30
140.2814,65670000,852,23
140.2217,546000,800,2
140.2132,3195000,833,14
140.2117,16510000,863,35
140.2097,227800,799,2
140.1777,59770000,850,19
140.1263,8955000,862,35
140.0814,84090000,852,24
140.0572,20180000,859,34
140.0396,932600,797,2
140.0176,4242000,858,34
139.9783,28070000,856,32
139.9397,236600,861,35
139.9396,85610000,857,33
139.8276,51840000,851,20
139.8242,9271000,822,9
139.7917,19960000,831,12
139.7052,15840000,856,33
139.6899,38000000,830,12
139.6817,836800,854,25
139.5769,20220000,829,12
139.5766,1.394e+08,854,26
139.5303,26300000,828,12
139.5189,227200,805,3
139.4854,1.528e+08,827,12
139.4634,23930000,829,13
139.4522,663500,851,21
139.4168,336800,828,13
139.4065,70070000,853,26
139.3719,1.019e+08,827,13
139.3583,14450000,826,12
139.3158,38270000,849,21
139.3137,7281000,852,26
139.2811,43560000,825,12
139.2448,38710000,826,13
139.2311,6559000,822,10
139.1676,22330000,825,13
139.1372,293200,847,20
139.1311,62910000,824,13
139.0525,362100,826,14
139.0492,9648000,823,12
139.0485,3236000,793,0
139.0363,165400,838,15
139.0072,1238000,853,27
138.9753,81240000,825,14
138.9646,9026000,792,0
138.9442,164800,806,4
138.9144,16080000,852,27
138.8995,407900,822,11
138.8847,227500,805,4
138.8439,599600,790,0
138.8302,264600,803,4
138.4717,8714000,855,29
138.4467,1317000,862,37
138.4286,635100,852,28
138.4185,299100,821,8
138.3772,326800,794,2
138.3646,146900,804,5
138.3172,22510000,856,35
138.2601,5593000,861,37
138.1949,608200,801,4
138.1439,14700000,855,31
138.109,343500,842,18
138.1041,272500,793,1
138.0075,470800,839,18
137.9735,793900,791,1
137.8995,7200000,790,1
137.8038,2116000,789,1
137.7917,1002000,783,0
137.786,205400,782,0
137.7495,4315000,855,34
137.7476,37040000,851,22
137.7119,994800,802,5
137.6936,686200,801,5
137.6112,2707000,849,22
137.5643,1282000,821,9
137.542,269200,838,18
137.5376,1.882e+08,860,36
137.5224,187300,778,0
137.4635,2.763e+08,854,30
137.3535,2374000,849,23
137.3475,108100,796,4
137.3425,984500,802,6
137.3243,5175000,791,2
137.3242,112600,801,6
137.2934,25890000,853,30
137.2816,4.556e+09,858,36
137.2772,272300,787,1
137.2685,220200,822,12
137.238,1437000,820,8
137.2278,16130000,819,8
137.1973,354700,786,1
137.1546,208200,789,2
137.1328,1.125e+09,848,22
137.1027,7183000,818,8
137.0998,145000,802,7
137.0572,1.582e+09,847,22
137.0478,5.405e+08,859,37
137.0229,1432000,788,2
136.9633,80260000,853,32
136.8858,640700,800,6
136.8751,78790000,848,23
136.8738,488700,799,6
136.872,1.082e+08,857,37
136.8705,38590000,852,32
136.8603,72140000,854,33
136.7069,228100,780,1
136.7037,588400,797,6
136.6902,1.424e+08,853,33
136.6431,1489000,800,7
