L1,L2,wn,wn_unc,I_obs,snr
292,66,46.0297491,3.81e-05,26.64556242,5
294,80,46.0383819,0.001,864.876091,35
291,67,46.1551817,2.52e-05,150.2937551,15
18,338,46.200926,4.75e-05,121.8259396,6
293,82,46.3453137,3.375e-05,187.277305,14
3,308,46.3471422,9.13125e-05,166.1001822,8
299,88,46.392971,4.44e-05,32.54474203,5
33,380,46.4110836,0.001,287.8929088,14
291,71,46.4257797,0.001,81.66269913,9
27,372,46.528919,1.823684211e-05,228.7407954,19
6,312,46.562203,0.000138,145.851933,4
292,78,46.5796433,5.55e-05,104.8566972,8
1,301,46.8572015,0.001,58.70953361,8
21,358,46.9418315,5.69e-05,474.6545137,15
26,372,46.9600417,2.605263158e-05,1132.956623,38
18,343,47.0439144,3.75e-06,3336.192257,299
17,342,47.069739,4.404545455e-05,217.585024,11
1,304,47.2006391,5.04e-05,40.96055404,5
28,377,47.2830273,5.4e-05,51.55269512,5
17,345,47.318605,4.488461538e-05,433.8016484,13
27,376,47.3366267,7.5e-05,54.19580705,4
0,299,47.345845,1.002857143e-05,299.6420005,35
25,375,47.3878856,1.448863636e-05,744.4058894,44
23,372,47.5790476,2.55e-05,196.8791664,16
15,342,47.6368762,8.565e-05,469.9316323,10
5,313,47.6688999,4.14e-05,66.19468681,5
6,314,47.7346235,0.001,66.19468681,5
26,376,47.7678099,0.001,142.963891,5
0,301,47.8075189,0.001,54.19580705,9
12,319,48.0896026,0.001,95.83189167,6
26,377,48.2579279,0.0001134,101.7577431,5
1,307,48.3979792,3.375e-06,1905.663685,208
2,309,48.4391473,3.84e-06,1454.744817,142
0,306,48.5560472,3.705e-06,1514.114038,156
24,377,48.7328586,0.000144,68.89610242,3
2,310,48.7845295,2.232352941e-05,164.4474677,17
14,321,48.8467832,6.028846154e-06,524.5742595,52
13,321,49.0357537,3.105e-06,1056.361822,164
1,309,49.0860218,8.732142857e-06,708.1008345,56
12,321,49.1793832,5.55e-06,1794.686529,139
2,311,49.3171261,5.655e-06,5958.566797,394
0,307,49.3483024,4.23e-06,2624.341992,230
1,310,49.4313947,4.14e-06,5899.278077,543
0,308,49.6976793,4.035e-06,7133.699431,688
11,319,49.6990603,0.001,91.15816393,6
1,311,49.9639948,1.506e-05,271.1273892,25
14,327,50.071904,8.153846154e-06,404.4740436,39
12,322,50.0836378,3.816666667e-05,171.1586554,9
12,324,50.1066536,2.267647059e-05,279.384417,17
13,330,50.2116607,7.682926829e-06,420.9809016,41
13,327,50.2608667,3.375e-06,715.2173562,109
14,332,50.271843,3.76875e-05,151.8042224,8
12,329,50.3262961,4.019230769e-06,529.8463084,78
12,330,50.3552894,2.516666667e-05,91.15816393,9
12,327,50.4044945,1.4775e-05,640.716226,40
2,313,50.6325242,4.6e-05,302.6534426,12
11,321,50.7888015,9.75e-06,891.2154588,58
2,314,51.0874326,5.595e-06,5782.464564,404
13,337,51.2011994,9.264705882e-06,293.7087111,34
1,313,51.2793977,4.965e-06,7277.809699,590
14,341,51.4352143,7.043478261e-06,344.6701919,46
18,362,51.4838128,1.311290323e-05,341.2406761,31
13,340,51.5102733,0.001,154.870851,15
0,312,51.5122659,4.65e-06,8889.136618,713
13,341,51.6241874,3.930379747e-06,615.5934226,79
12,340,51.6539379,3.068181818e-05,144.4006919,11
11,324,51.7160338,0.001,189.1594631,9
12,338,51.9139107,0.001,172.8788184,5
11,329,51.9356768,3.975e-05,147.3177592,8
13,342,52.0040405,3.903409091e-06,673.5663981,88
11,327,52.0139067,3.3525e-05,628.0292145,20
14,345,52.0639608,2.58e-06,666.8643104,114
13,344,52.1076691,5.46e-06,327.8604771,50
12,342,52.1476769,3.63e-06,1607.741559,207
13,345,52.2529316,8e-06,504.0054478,36
12,345,52.396554,0.001,1342.898797,125
10,332,52.5433242,6.040909091e-05,388.6144287,11
9,324,52.6589819,8.85e-05,176.371182,5
11,331,52.7087888,0.0001185,142.963891,4
12,343,52.7569595,6e-06,1944.160624,118
9,325,52.8018671,3.61875e-05,120.6137612,8
9,330,52.9076599,3.084375e-05,447.0128449,16
10,331,53.0382138,4.6875e-05,169.4556082,8
11,338,53.5233717,4.35e-05,456.0430832,12
18,375,53.5613778,1.110810811e-05,666.8643104,37
9,331,53.6517237,8.175e-06,1227.317175,60
9,333,53.693046,3.966666667e-05,250.2822018,9
10,335,53.6950602,1.676470588e-05,798.3813341,34
8,325,53.6973136,2.294117647e-05,1088.532798,34
11,342,53.7570841,5.446428571e-06,1812.723419,84
8,329,53.7741431,0.001,474.6545137,19
8,328,53.9798225,0.0001848,529.8463084,5
11,345,54.0059704,1.29375e-05,994.8441564,40
14,348,54.23108,4.95e-05,233.3616458,7
12,347,54.263338,2.972727273e-05,331.1555196,11
9,335,54.3085721,4.7e-05,172.8788184,6
11,343,54.3663663,5.685e-06,9068.709069,302
13,348,54.4201118,7.23e-05,204.9139168,5
9,338,54.4663058,4.8e-05,474.6545137,10
13,349,54.535035,7.373076923e-05,494.0254911,13
8,333,54.5885155,3.165789474e-05,1794.686529,38
12,349,54.6787203,0.0002637,219.7717798,5
10,343,54.6958024,0.0002136,211.1544442,5
14,357,55.7237968,0.000226875,133.298716,4
12,352,55.7992498,7.1875e-05,334.4836778,12
10,346,55.8874283,0.000133,144.4006919,6
7,319,56.1456005,0.000103,265.758727,9
11,348,56.1730876,0.00016575,202.8749993,6
13,359,56.2326533,4.971428571e-05,736.998937,21
12,359,56.3763633,0.0001968,171.1586554,5
14,363,56.6726997,0.00022725,84.14966811,2
13,363,56.8616068,3.07173913e-05,460.6263823,23
12,363,57.0052778,0.001,715.2173562,32
14,367,57.263819,7.114285714e-05,540.5498936,14
12,367,57.5963522,3.133333333e-05,936.9090012,27
11,357,57.6657636,0.001,2192.034856,51
8,347,57.7111223,5.342857143e-05,994.8441564,21
3,318,58.0377721,0.001,2304.422835,25
11,367,59.2057367,4.72826087e-05,1144.343017,23
8,352,59.2471238,0.0001366875,767.0763934,8
12,376,59.3934949,2.191935484e-05,1484.132591,31
12,377,59.8836273,0.00022,226.4647964,3
11,372,60.1951757,2.575e-05,1944.160624,30
11,375,60.8838184,7.735714286e-05,433.8016484,7
11,376,61.0029296,0.001,1035.444476,10
12,380,61.2621786,0.0001685,161.1912095,3
2,332,62.267971,5.12e-05,451.5053887,15
0,333,64.4013814,3.75e-05,1499.048361,19
1,346,66.2589894,0.001,392.5200586,8
0,347,67.5240544,0.001,687.1733217,13
2,357,67.719878,0.000221625,355.1669315,4
2,358,67.7590694,5.0875e-05,774.7856293,12
0,352,69.0599599,8.05e-05,287.8929088,6
