L1,L2,wn,wn_unc,I_obs,snr
22,321,38.3656556,2.61e-06,10642.22851,1511
11,309,38.3850715,1.592307692e-05,557.0120583,39
37,359,38.4375955,0.0001077,148.7983172,5
25,329,38.4397242,0.0001401,174.6162694,5
298,50,38.4425826,4.55e-05,76.14186359,9
27,332,38.5476499,1.206666667e-05,653.6595321,45
298,51,38.5570665,2.27e-05,102.7804153,15
293,48,38.6148253,3.075e-06,1144.343017,271
292,47,38.6354212,5.145e-06,2085.128103,289
9,307,38.6399703,3.375e-06,23449.04705,3101
25,328,38.6454816,3.555e-06,2127.250464,229
26,329,38.700585,8.235e-06,14509.88125,708
10,309,38.7145048,0.001,24651.30535,2050
26,330,38.7295879,1.437272727e-05,2170.223754,55
313,63,38.7378338,0.001,61.7195845,7
8,306,38.7431895,7.185e-06,57675.34763,3790
291,47,38.8164647,4.005e-06,3542.490803,662
13,313,38.8254025,6e-06,4034.288935,256
294,49,38.8468476,0.001,137.3582359,20
12,313,38.9690357,3.924242424e-06,1025.141641,99
9,308,38.9893477,2.94e-06,19981.95995,3409
10,310,39.0598634,7.02e-06,10749.18467,772
14,314,39.0913278,0.001,2085.128103,114
302,54,39.0913278,0.001,2085.128103,114
23,324,39.1000111,0.001,12741.06055,899
295,51,39.143462,0.001,348.1341749,72
294,50,39.1608562,7.744897959e-06,351.6329715,49
28,341,39.1671875,2.55e-06,1529.331127,248
313,66,39.1787681,1.27826087e-05,128.0720378,23
293,49,39.1956097,0.001,438.1614174,109
292,48,39.2081157,0.001,579.7441108,149
25,331,39.2128373,8.58e-05,101.7577431,5
312,61,39.241,7.066666667e-06,268.4296366,45
314,73,39.2443565,3.06e-05,58.12537394,10
25,333,39.2541235,4.995e-06,43156.36163,3567
37,362,39.2581375,3.611538462e-05,276.6045056,13
11,311,39.2630434,1.27e-05,551.4697056,45
22,322,39.2699108,4.184210526e-06,918.3569798,95
13,314,39.2803105,8.339285714e-06,1544.70115,84
27,337,39.2880095,5.34e-06,1383.796123,108
298,53,39.3076223,5.454545455e-05,117.0491154,11
9,309,39.328015,4.95e-06,13802.22604,1345
23,330,39.3486051,4.32e-06,17371.48157,1701
314,77,39.3603131,4.10625e-05,47.58921245,8
291,48,39.3891542,3.21e-05,58.70953361,10
23,327,39.397808,3.135e-06,1342.898797,194
295,52,39.4235799,2.073529412e-05,111.3406115,17
24,332,39.4536899,5.64e-06,9533.671675,751
25,334,39.4545432,4.32e-06,14803.00028,1441
312,63,39.4553252,4.275e-05,28.57751118,6
293,50,39.5096611,0.001,268.4296366,40
22,329,39.5125649,4.965e-06,28355.7505,2390
8,307,39.5354427,7.5e-06,26704.44021,1833
22,330,39.5415695,4.77e-06,5958.566797,524
37,365,39.5754541,8.631147541e-06,751.8872829,61
22,327,39.5907698,2.655e-06,4157.151294,711
