parity,Config1,Config2,parameter,LSF,Uncert.,Group,HF,LSF/HF
o,3d7.4p,,"F2(3d,3d)",75458.1,235.000,1.0,92861.176,0.8125904
o,3d7.4p,,"F4(3d,3d)",49294.4,222.000,2.0,57655.412,0.85498305
o,3d7.4p,,ALPHA(3d),77.2,fixed,,0.0,
o,3d7.4p,,BETA(3d),0.0,fixed,,0.0,
o,3d7.4p,,T(3d),0.0,fixed,,0.0,
o,3d7.4p,,T1(3d),0.0,fixed,,0.0,
o,3d7.4p,,T2(3d),0.0,fixed,,0.0,
o,3d7.4p,,zeta(3d),512.3,30.000,,528.842,0.96872034
o,3d7.4p,,zeta(4p),408.2,fixed,,354.105,1.15276542
o,3d7.4p,,"F1(3d,4p)",0.0,fixed,,0.0,
o,3d7.4p,,"F2(3d,4p)",13122.4,299.000,,14058.75,0.93339735
o,3d7.4p,,"G1(3d,4p)",4819.2,98.000,,5532.75,0.87103158
o,3d7.4p,,"G2(3d,4p)",0.0,fixed,,0.0,
o,3d7.4p,,"G3(3d,4p)",2843.7,178.000,,4467.125,0.63658393
o,3d7.5p,,Eav,116351.2,69.000,,94092.7,1.23655927
o,3d7.5p,,"F2(3d,3d)",76085.4,237.000,1.0,93532.824,0.81346202
o,3d7.5p,,"F4(3d,3d)",49848.0,225.000,2.0,58104.118,0.85790821
o,3d7.5p,,ALPHA(3d),76.7,fixed,,0.0,
o,3d7.5p,,BETA(3d),0.0,fixed,,0.0,
o,3d7.5p,,T(3d),0.0,fixed,,0.0,
o,3d7.5p,,T1(3d),0.0,fixed,,0.0,
o,3d7.5p,,T2(3d),0.0,fixed,,0.0,
o,3d7.5p,,zeta(3d),533.7,fixed,,531.789,1.00359353
o,3d7.5p,,zeta(5p),127.9,fixed,,107.579,1.18889374
o,3d7.5p,,"F1(3d,5p)",0.0,fixed,,0.0,
o,3d7.5p,,"F2(3d,5p)",3515.4,fixed,,3663.625,0.95954144
o,3d7.5p,,"G1(3d,5p)",1259.4,fixed,,1334.375,0.94381265
o,3d7.5p,,"G2(3d,5p)",0.0,fixed,,0.0,
o,3d7.5p,,"G3(3d,5p)",1016.4,fixed,,1152.25,0.88210024
o,3d7.4p,3d7.5p,"RD0(3d,4p,3d,5p)",226.3,fixed,,0.0,
o,3d7.4p,3d7.5p,"RD2(3d,4p,3d,5p)",4612.3,fixed,,5793.1,0.79617589
o,3d7.4p,3d7.5p,"RE1(3d,4p,3d,5p)",2176.9,fixed,,2673.5,0.81426113
o,3d7.4p,3d7.5p,"RE3(3d,4p,3d,5p)",1880.7,fixed,,2238.9,0.83999821
