lev_id,E_calc,J,P,lev_name
98,101.0038,0.0,1,98 3d7.(4P).5s 3P  0.0
99,101.3474,5.0,1,98 3d7.(2G).5s 3G  5.0
100,101.5703,4.0,1,76 3d7.(2G).5s 3G  4.0
101,102.1347,3.0,1,100 3d7.(2G).5s 3G  3.0
102,102.5135,4.0,1,77 3d7.(2G).5s 1G  4.0
103,105.0667,2.0,1,86 3d7.(2P).5s 3P  2.0
104,105.1188,1.0,1,99 3d7.(4P).4d 5P  1.0
105,105.2219,2.0,1,98 3d7.(4P).4d 5P  2.0
106,105.3168,1.0,1,59 3d7.(2P).5s 3P  1.0
107,105.3997,3.0,1,96 3d7.(4P).4d 5P  3.0
108,105.7712,5.0,1,99 3d7.(4P).4d 5F  5.0
109,105.8688,4.0,1,95 3d7.(4P).4d 5F  4.0
110,105.8723,0.0,1,98 3d7.(2P).5s 3P  0.0
111,105.9869,3.0,1,93 3d7.(4P).4d 5F  3.0
112,106.1149,2.0,1,92 3d7.(4P).4d 5F  2.0
113,106.1433,1.0,1,60 3d7.(2P).5s 1P  1.0
114,106.2346,1.0,1,94 3d7.(4P).4d 5F  1.0
115,106.7251,4.0,1,78 3d7.(4P).4d 3F  4.0
116,106.8561,3.0,1,72 3d7.(4P).4d 3F  3.0
117,106.9943,4.0,1,91 3d7.(4P).4d 5D  4.0
118,107.0519,0.0,1,94 3d7.(4P).4d 5D  0.0
119,107.0747,2.0,1,49 3d7.(4P).4d 3F  2.0
120,107.1072,1.0,1,92 3d7.(4P).4d 5D  1.0
121,107.1323,3.0,1,68 3d7.(4P).4d 5D  3.0
122,107.2119,2.0,1,61 3d7.(4P).4d 5D  2.0
123,107.3013,3.0,1,57 3d7.(2D2).5s 3D  3.0
124,107.3019,6.0,1,99 3d7.(2H).5s 3H  6.0
125,107.3604,3.0,1,66 3d7.(2G).4d 3D  3.0
126,107.5138,5.0,1,78 3d7.(2H).5s 3H  5.0
127,107.528,2.0,1,49 3d7.(4P).4d 3D  2.0
128,107.5461,7.0,1,98 3d7.(2G).4d 3I  7.0
129,107.568,1.0,1,88 3d7.(4P).4d 3D  1.0
130,107.6465,6.0,1,68 3d7.(2G).4d 3I  6.0
131,107.6822,2.0,1,31 3d7.(2D2).5s 3D  2.0
132,107.7009,3.0,1,50 3d7.(4P).4d 3D  3.0
133,107.7787,5.0,1,78 3d7.(2G).4d 3G  5.0
134,107.8705,5.0,1,35 3d7.(2G).4d 1H  5.0
135,107.9035,6.0,1,84 3d7.(2G).4d 3H  6.0
136,107.9399,2.0,1,62 3d7.(2G).4d 3D  2.0
137,107.9582,3.0,1,85 3d7.(2G).4d 1F  3.0
138,108.0045,4.0,1,84 3d7.(2H).5s 3H  4.0
139,108.0601,4.0,1,75 3d7.(2G).4d 3G  4.0
140,108.233,1.0,1,87 3d7.(2G).4d 3D  1.0
141,108.3073,5.0,1,66 3d7.(2G).4d 3I  5.0
142,108.4481,5.0,1,45 3d7.(2H).5s 1H  5.0
143,108.5154,3.0,1,93 3d7.(2G).4d 3G  3.0
144,108.5501,5.0,1,100 3d7.(4F).6s 5F  5.0
145,108.5649,6.0,1,60 3d7.(2G).4d 1I  6.0
146,108.6528,1.0,1,64 3d7.(2D2).5s 3D  1.0
147,108.6641,4.0,1,91 3d7.(2G).4d 3H  4.0
148,108.7331,0.0,1,75 3d7.(4P).4d 3P  0.0
149,108.7469,1.0,1,67 3d7.(4P).4d 3P  1.0
150,108.8198,5.0,1,54 3d7.(2G).4d 1H  5.0
151,108.8529,4.0,1,60 3d7.(4F).6s 3F  4.0
152,108.8599,2.0,1,44 3d7.(2D2).5s 1D  2.0
153,108.9865,2.0,1,62 3d7.(4P).4d 3P  2.0
154,109.4683,4.0,1,58 3d7.(4F).6s 5F  4.0
155,109.5173,2.0,1,51 3d7.(2G).4d 1D  2.0
156,109.5719,3.0,1,63 3d7.(4F).6s 5F  3.0
157,109.6862,4.0,1,40 3d7.(2G).4d 1G  4.0
158,109.8189,4.0,1,39 3d7.(2G).4d 1G  4.0
159,109.9,3.0,1,56 3d7.(2G).4d 3F  3.0
160,110.0854,2.0,1,79 3d7.(4F).6s 5F  2.0
161,110.243,2.0,1,52 3d7.(2G).4d 3F  2.0
162,110.2714,3.0,1,65 3d7.(4F).6s 3F  3.0
163,110.4205,1.0,1,100 3d7.(4F).6s 5F  1.0
164,110.7867,2.0,1,84 3d7.(4F).6s 3F  2.0
165,111.3897,1.0,1,72 3d7.(2P).4d 3D  1.0
166,111.45,3.0,1,81 3d7.(2P).4d 3D  3.0
167,111.5122,2.0,1,76 3d7.(2P).4d 3D  2.0
168,111.791,1.0,1,37 3d7.(2P).4d 3P  1.0
169,111.8762,4.0,1,68 3d7.(2P).4d 3F  4.0
170,111.9044,3.0,1,48 3d7.(2P).4d 1F  3.0
171,111.921,0.0,1,55 3d7.(2P).4d 3P  0.0
172,112.4474,2.0,1,64 3d7.(2P).4d 3F  2.0
173,112.5236,3.0,1,50 3d7.(2P).4d 3F  3.0
174,112.7653,1.0,1,48 3d7.(2P).4d 1P  1.0
175,112.8242,2.0,1,59 3d7.(2P).4d 3P  2.0
176,113.3299,2.0,1,34 3d7.(2P).4d 1D  2.0
177,113.3402,8.0,1,100 3d7.(2H).4d 3K  8.0
178,113.3989,7.0,1,62 3d7.(2H).4d 3K  7.0
179,113.5044,3.0,1,82 3d7.(2H).4d 1F  3.0
180,113.5819,4.0,1,51 3d7.(2D2).4d 3F  4.0
181,113.6346,5.0,1,97 3d7.(2H).4d 3G  5.0
182,113.6512,3.0,1,30 3d7.(2D2).4d 3D  3.0
183,113.8074,3.0,1,37 3d7.(2D2).4d 3D  3.0
184,113.9705,5.0,1,77 3d7.(2D2).4d 3G  5.0
185,113.9823,6.0,1,96 3d7.(2H).4d 3K  6.0
186,114.0212,4.0,1,86 3d7.(2H).4d 3G  4.0
187,114.117,7.0,1,50 3d7.(2H).4d 1K  7.0
188,114.1222,4.0,1,34 3d7.(2D2).4d 3G  4.0
189,114.1606,1.0,1,39 3d7.(2D2).4d 1P  1.0
190,114.2125,2.0,1,49 3d7.(2D2).4d 3F  2.0
191,114.2991,7.0,1,79 3d7.(2H).4d 3I  7.0
192,114.3381,3.0,1,94 3d7.(2H).4d 3G  3.0
193,114.4073,6.0,1,59 3d7.(2H).4d 3I  6.0
194,114.4749,5.0,1,49 3d7.(2H).4d 1H  5.0
195,114.5804,6.0,1,65 3d7.(2H).4d 3H  6.0
196,114.6029,1.0,1,52 3d7.(2D2).4d 3S  1.0
197,114.738,3.0,1,36 3d7.(2D2).4d 1F  3.0
198,114.7796,2.0,1,42 3d7.(2D2).4d 3D  2.0
199,114.9521,5.0,1,87 3d7.(2H).4d 3I  5.0
200,115.1281,1.0,1,34 3d7.(2D2).4d 3D  1.0
