lid1,lid2,E1,E2,J1,J2,snr,wn_ritz,wn_obs,wn_obs_unc,obs-ritz,I_calc,I_obs,gA,L1,L2
0,197,0.0000,26759.2099,3.5,3.5,76,26759.2099,26759.2047,0.0018,-0.0052,2.6e+04,8.5e+03,2.4e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
0,214,0.0000,27444.5052,3.5,3.5,37,27444.5052,27444.5055,0.0031,0.0003,1.9e+04,3.4e+03,2.0e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 214 27.3956 4f3.(2H2*).5d.(2D).(3H*).6s 4H* 3.5
0,212,0.0000,27233.5079,3.5,4.5,98,27233.5079,27233.5066,0.0027,-0.0013,1.6e+04,1.2e+04,2.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 212 27.2881 4f4.(5I).6p 6H* 4.5
0,198,0.0000,27014.2413,3.5,4.5,86,27014.2413,27014.2387,0.0017,-0.0026,1.2e+04,1.0e+04,1.1e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 198 26.8449 4f3.(4I*).5d2.(1G) 4G* 4.5
0,232,0.0000,27921.3645,3.5,4.5,39,27921.3645,27921.3815,0.0032,0.0170,6.8e+03,4.7e+03,1.1e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 232 27.9712 4f4.(5I).6p 4I* 4.5
0,340,0.0000,31032.2976,3.5,3.5,13,31032.2976,31032.3418,0.0148,0.0441,4.7e+03,1.4e+03,1.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 340 31.1003 4f3.(4G*).5d.(2D).(5H*).6s 6H* 3.5
0,346,0.0000,31273.2642,3.5,2.5,11,31273.2642,31273.2501,0.0078,-0.0141,3.5e+03,1.2e+03,1.0e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 346 31.3357 4f3.(4G*).5d2.(3P) 6H* 2.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,138,513.3304,24445.3676,4.5,5.5,2785,23932.0372,23932.0376,0.0010,0.0004,5.6e+05,4.8e+05,3.9e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
1,167,513.3304,25771.4927,4.5,4.5,708,25258.1623,25258.1640,0.0010,0.0016,3.4e+05,1.4e+05,3.3e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 167 25.7418 4f4.(5I).6p 6I* 4.5
1,145,513.3304,24842.8508,4.5,5.5,3037,24329.5204,24329.5216,0.0010,0.0012,3.2e+05,5.2e+05,1.7e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 145 24.8055 4f3.(4F*).5d.(2D).(5H*).6s 4H* 5.5
1,179,513.3304,26206.7917,4.5,3.5,2800,25693.4613,25693.4607,0.0012,-0.0005,3.0e+05,2.7e+05,2.8e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 179 26.1962 4f4.(5I).6p 6H* 3.5
1,104,513.3304,20907.3039,4.5,3.5,1639,20393.9735,20393.9736,0.0010,0.0001,2.6e+05,6.6e+04,5.0e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 104 20.9456 4f3.(4I*).5d2.(3P) 4H* 3.5
1,177,513.3304,26274.0686,4.5,5.5,1986,25760.7382,25760.7388,0.0013,0.0006,2.1e+05,2.4e+05,2.2e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 177 26.1758 4f4.(5I).6p 4K* 5.5
1,170,513.3304,25877.1416,4.5,4.5,2387,25363.8111,25363.8138,0.0010,0.0026,2.0e+05,4.7e+05,1.6e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 170 25.8820 4f3.(4F*).5d2.(3F) 6G* 4.5
1,120,513.3304,23229.9657,4.5,4.5,1144,22716.6353,22716.6345,0.0018,-0.0008,1.7e+05,1.6e+05,9.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 120 23.1930 4f4.(5I).6p 6K* 4.5
1,123,513.3304,23397.3507,4.5,3.5,1558,22884.0203,22884.0196,0.0009,-0.0007,1.7e+05,1.7e+05,6.3e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
1,102,513.3304,20672.5558,4.5,4.5,5504,20159.2254,20159.2253,0.0010,-0.0001,1.6e+05,2.1e+05,2.8e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 102 20.6825 4f3.(4I*).5d2.(1G) 4I* 4.5
1,135,513.3304,24134.0607,4.5,5.5,1350,23620.7303,23620.7311,0.0011,0.0008,1.5e+05,2.6e+05,1.0e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 135 24.1651 4f4.(5I).6p 6K* 5.5
1,181,513.3304,26455.1813,4.5,5.5,200,25941.8509,25941.8428,0.0013,-0.0081,1.4e+05,2.5e+04,1.3e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 181 26.2508 4f3.(4F*).5d.(2D).(5G*).6s 6G* 5.5
1,192,513.3304,26640.0616,4.5,3.5,2578,26126.7312,26126.7318,0.0012,0.0005,1.3e+05,1.9e+05,1.5e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 192 26.6607 4f4.(5I).6p 6H* 3.5
1,212,513.3304,27233.5079,4.5,4.5,1194,26720.1775,26720.1784,0.0013,0.0010,1.1e+05,9.9e+04,1.5e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 212 27.2881 4f4.(5I).6p 6H* 4.5
1,142,513.3304,24547.6123,4.5,5.5,107,24034.2819,24034.2820,0.0010,0.0001,1.0e+05,2.1e+04,5.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 142 24.6383 4f3.(4F*).5d2.(3F) 6H* 5.5
1,185,513.3304,26422.5277,4.5,3.5,650,25909.1973,25909.1948,0.0012,-0.0025,1.0e+05,6.2e+04,8.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 185 26.4136 4f3.(4F*).5d2.(3F) 6F* 3.5
1,151,513.3304,25044.6406,4.5,3.5,836,24531.3101,24531.3065,0.0009,-0.0037,1.0e+05,1.2e+05,5.8e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 151 25.0885 4f3.(4I*).5d2.(1D) 4G* 3.5
1,150,513.3304,25080.8458,4.5,5.5,1316,24567.5153,24567.4946,0.0020,-0.0208,1.0e+05,2.6e+05,6.6e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 150 25.0768 4f3.(4I*).5d2.(3P) 4I* 5.5
