wn_calc,gA_calc,upper_lev_id,lower_lev_id
45.854999,7.174e+09,552,62
45.849001,441600,542,43
45.848566,7281000,530,33
45.819998,574400,568,84
45.814812,2.779e+08,559,67
45.812494,4.623e+08,550,52
45.794003,1066000,556,65
45.784003,428800,524,27
45.771001,1.916e+08,509,23
45.759512,8177000,559,68
45.741999,134900,563,71
45.710999,345700,490,15
45.703001,1398000,480,13
45.696396,34530000,531,34
45.694,8.854e+08,525,31
45.690001,154400,523,27
45.687998,2277000,526,32
45.683,310200,513,26
45.635391,62480000,530,34
45.624999,817600,492,18
45.611734,318700,550,54
45.59,2.235e+09,541,45
45.577392,14430000,529,34
45.566133,7.612e+08,539,41
45.536002,258700,496,19
45.516757,1.109e+09,522,28
45.504999,909700,570,88
45.497995,765200,569,88
45.497133,1.141e+08,538,41
45.355761,4.89e+08,520,28
45.342001,138600,518,27
45.333498,249500,545,52
45.307001,2274000,475,13
45.283136,5.5e+08,535,41
45.266999,935400,474,12
45.258999,321100,499,20
45.257288,37160000,534,38
45.254995,82340000,569,89
45.242998,5532000,558,71
45.239998,127500,485,15
45.237,2789000,563,76
45.223999,122600,527,35
45.218005,454500,547,56
45.216002,3152000,559,73
45.20491,1.444e+09,546,55
45.203998,105500,498,20
45.197998,1.409e+08,566,85
45.197576,3907000,562,75
45.177683,548300,539,42
45.161493,13520000,544,52
45.160995,170900,521,30
45.132738,13230000,545,54
45.098808,25990000,553,67
45.064001,173800,540,48
45.043508,990100,553,68
45.00976,1.134e+08,516,28
44.987002,377900,557,71
44.979999,110700,560,74
44.964289,587500,531,38
44.960733,4817000,544,54
44.945999,123000,502,21
44.939581,1906000,559,75
44.932003,246400,532,40
44.93,1.372e+09,520,31
44.927999,569700,506,26
44.926005,1170000,547,57
44.924955,6.544e+08,503,22
44.924023,5617000,531,39
44.921759,3.927e+08,515,28
44.903284,46010000,530,38
44.902999,3539000,488,19
44.89658,6.314e+08,483,16
44.894686,50510000,535,42
44.885998,661000,551,65
44.863018,1417000,530,39
44.845285,6445000,529,38
44.840002,148500,513,27
44.806689,86560000,534,42
44.805019,10290000,529,39
44.803997,7.332e+08,538,45
44.783171,5.027e+08,559,78
44.782655,12900000,550,60
44.773999,2509000,469,12
44.746999,675600,505,26
44.728581,205400,481,16
44.712999,2.097e+09,503,23
44.699251,87970000,546,58
44.672918,24230000,550,61
44.667998,227100,485,18
44.659001,103500,481,17
44.638956,6.678e+08,500,22
44.613002,118800,484,18
44.599999,117700,563,82
44.562001,2782000,479,15
44.556389,12130000,522,34
44.546999,271200,533,43
44.531002,335600,556,74
44.51369,17120000,531,42
44.511348,19420000,514,29
44.509763,3.128e+08,553,72
44.499998,9836000,553,73
44.498429,6428000,559,79
44.49691,8499000,541,55
44.495998,1.573e+09,515,31
44.487999,1430000,523,35
44.482003,8222000,557,76
44.462766,3.652e+08,552,72
44.447001,341300,466,13
44.445307,3.025e+08,550,63
44.439249,1.044e+08,544,58
44.400348,2.305e+08,512,29
44.399997,573800,555,74
44.394686,64990000,529,42
44.375955,3.42e+08,495,22
44.365137,1.801e+08,525,41
44.364,105400,464,11
44.360001,1025000,570,93
44.33,19060000,464,13
44.310997,10120000,570,95
44.299347,50730000,510,29
44.273998,1153000,487,20
44.272,1195000,463,12
44.264761,2.765e+08,509,28
44.254,282500,463,13
44.212,300300,462,13
44.193922,560700,545,61
44.181471,134600,328,2
44.179005,13150000,549,65
44.179001,425500,497,24
44.176996,15670000,566,91
44.163999,1.254e+09,495,23
44.135,61130000,570,96
44.09258,8.737e+08,476,16
44.087,140700,499,25
44.067167,90650000,553,78
44.049392,42090000,516,34
44.044001,141300,429,7
44.036002,170800,556,80
44.031001,38830000,480,18
44.023,2.546e+09,476,17
44.021917,5677000,544,61
44.010998,153800,488,21
43.996492,33040000,539,52
43.993,243600,548,65
43.991567,1501000,514,33
43.991251,1.286e+08,541,58
43.990999,222100,502,26
43.990001,316500,479,18
43.981997,8694000,551,71
43.976687,70950000,525,42
43.974999,224800,459,12
43.969999,356500,560,84
43.966311,33760000,545,63
43.956999,109400,459,13
43.935003,239000,532,48
43.904997,275000,555,80
43.904001,815600,505,27
43.903,2226000,492,24
43.896,179400,434,9
43.880567,5.867e+08,512,33
43.879957,2675000,491,22
43.872,885400,458,13
43.824282,92810000,522,38
43.821146,17360000,531,50
43.819,146900,542,59
43.815001,2177000,480,19
43.809999,1995000,564,91
43.794306,31860000,544,63
43.790999,546400,457,13
43.784001,117500,523,40
43.783003,662300,528,48
43.782425,99220000,553,79
43.779997,546500,555,81
43.778392,6.981e+08,514,34
43.776581,23840000,471,16
43.772562,7652000,530,49
43.760141,4.057e+08,530,50
43.73451,3.172e+08,550,68
43.733999,25210000,492,25
43.720129,5.04e+08,559,86
43.718002,144000,561,87
43.713495,10090000,535,52
43.710907,4.19e+08,538,55
43.702142,7122000,529,50
43.672999,168300,424,7
43.668001,2904000,491,23
43.656998,5557000,566,93
43.625498,2.147e+08,534,52
43.618999,246100,506,30
43.601137,1.316e+08,520,41
43.594995,564400,562,88
43.576999,5209000,474,18
43.569999,203500,486,21
43.566391,1.438e+09,510,34
43.566,396700,493,26
43.557999,152800,468,15
43.545,3631000,570,97
43.471998,3829000,456,13
43.447998,387200,526,46
43.436001,473700,518,40
43.424738,22030000,534,54
43.419001,1591000,475,19
43.398811,27000000,546,67
43.373683,7.217e+08,522,42
43.362,186900,517,40
43.332499,56710000,531,52
43.317285,13640000,516,38
43.310814,2.347e+08,545,67
43.304393,83770000,509,34
43.291998,199700,554,84
43.290001,2854000,564,93
43.274248,67250000,539,58
43.255514,8.78e+08,545,68
43.251003,3778000,543,65
43.247999,3160000,490,25
43.240997,1.016e+09,564,95
43.240715,7.737e+08,570,98
43.233711,831600,569,98
43.213495,1.247e+08,529,52
43.212687,38590000,520,42
43.206759,46640000,503,28
43.205248,7497000,538,58
43.167135,1.773e+08,515,41
43.161999,238900,411,6
43.147998,100200,456,14
43.142002,37750000,542,65
43.138809,18520000,544,67
43.131739,5.44e+08,531,54
43.118206,374600,297,1
43.094,9.447e+08,559,89
43.088999,6044000,548,71
43.083509,7.577e+08,544,68
43.070734,2.059e+08,530,54
43.065,2.554e+08,564,96
43.055998,397100,488,26
43.055,115600,426,9
43.052957,1116000,481,22
43.051996,79710000,569,99
43.046285,31260000,514,38
43.012735,8.328e+08,529,54
43.006019,6.534e+08,514,39
43.004125,1.461e+09,553,86
42.991251,9.538e+08,535,58
42.975,10650000,452,13
42.945999,172900,485,24
42.934002,251700,513,40
42.923,263400,480,21
42.916004,701500,549,74
42.914579,7.405e+08,550,75
42.903254,1.494e+08,534,58
42.895019,2.216e+08,512,39
42.889,110800,434,10
42.882999,2238000,506,35
42.874998,202700,414,7
42.872999,9746000,570,101
42.867999,194000,469,19
42.866686,3.66e+08,516,42
42.865995,24020000,569,101
42.856916,12570000,539,61
42.841997,3.614e+08,566,97
42.834284,48750000,510,38
42.832003,881600,528,56
42.828471,136500,308,2
42.82,120500,407,6
42.809766,8.403e+08,546,72
42.800001,2761000,546,73
42.794018,2.295e+08,510,39
42.787001,298800,523,48
42.778685,2703000,515,42
42.775001,233900,466,18
42.758169,9757000,550,78
42.723002,106600,493,27
42.712004,15530000,545,73
42.699,662300,450,13
42.693348,34320000,500,29
42.690811,6252000,541,67
42.689999,206400,405,6
42.681999,108600,502,30
42.664001,795400,273,0
42.657759,23100000,495,28
42.584,70620000,548,76
42.582,636300,463,18
42.581617,5.125e+08,569,103
42.573919,55830000,535,61
42.572286,10820000,509,38
42.572001,126900,527,56
42.560002,446200,447,12
42.559001,880900,466,19
42.549999,1.26e+08,570,104
42.539999,2916000,544,73
42.528999,103100,272,0
42.528999,388400,497,30
42.485922,9.093e+08,534,61
42.475,2.813e+08,564,97
42.469995,1.36e+09,569,106
42.468001,226000,499,32
42.442,13710000,464,19
42.439001,154700,518,48
42.435583,4.454e+08,545,75
42.421004,370600,549,80
42.416956,749500,476,22
42.414001,110900,532,59
42.400993,776400,562,95
42.383685,8.171e+08,510,42
42.383,472100,511,44
42.380001,336500,496,30
42.377996,1.074e+09,553,89
42.375,310900,450,14
42.366,163000,463,19
42.347002,52690000,543,71
42.342999,769800,455,15
42.332998,3205000,553,90
42.309002,57870000,480,24
42.30266,4.332e+08,531,60
42.294003,257900,561,94
42.286001,681000,552,90
42.284999,134700,459,18
42.279173,35050000,545,78
42.268002,340300,479,24
42.266998,3617000,468,20
42.263578,4.396e+08,544,75
42.258311,87220000,534,63
42.246391,33460000,503,34
42.241655,3.511e+08,530,60
42.224996,883800,562,96
42.217001,672900,489,27
42.211,532400,570,107
42.203996,1353000,569,107
42.2,1078000,458,18
42.197002,2147000,537,65
42.192923,7.84e+08,531,61
42.192492,8.007e+08,522,52
42.183656,3.846e+08,529,60
42.179001,298100,506,40
42.170204,153600,288,1
42.134998,274600,414,9
42.121687,81760000,509,42
42.115,1.203e+08,492,32
42.107168,3993000,544,78
42.101766,23140000,541,72
42.092001,5914000,541,73
42.091999,108500,558,94
