L1,L2,wn,wn_unc,I_obs,snr
0,120,23.2299661,1.1e-06,944568.0,4928.0
1,120,22.7166345,1.8e-06,158894.0,1145.0
1,138,23.9320376,1e-06,483051.0,2786.0
3,138,22.7951644,1e-06,294479.0,2056.0
2,138,22.9752659,1e-06,144528.0,1026.0
2,164,24.0543587,2e-06,658497.0,2992.0
4,164,22.9389971,2.1e-06,298644.0,1569.0
4,199,24.3272809,2.1e-06,765109.0,3651.0
6,199,23.1108138,2.1e-06,287677.0,1452.0
6,248,24.617016,2e-06,815262.0,4126.0
9,248,23.3333113,2.1e-06,146246.0,734.0
