lev_id,E_calc,J,P,lev_name
77,33.7768,5.5,-1,id 77 33.7768 4f3.(4I*).5d.(2D).(5K*).6p 6L 5.5
78,34.6014,4.5,-1,id 78 34.6014 4f3.(4I*).5d.(2D).(5K*).6p 6K 4.5
79,34.9936,5.5,-1,id 79 34.9936 4f4.(3I1).5d 2H 5.5
80,34.9984,5.5,-1,id 80 34.9984 4f3.(4I*).5d.(2D).(5L*).6p 6L 5.5
81,8.0451,6.5,-1,id 81 8.0451 4f3.(4I*).5d2.(3F) 6M* 6.5
82,10.0477,5.5,-1,id 82 10.0477 4f3.(4I*).5d.(2D).(5L*).6s 6L* 5.5
83,10.0972,4.5,-1,id 83 10.0972 4f3.(4I*).5d.(2D).(5K*).6s 6K* 4.5
84,10.7335,5.5,-1,id 84 10.7335 4f3.(4I*).5d.(2D).(5K*).6s 6K* 5.5
85,10.8022,6.5,-1,id 85 10.8022 4f3.(4I*).5d.(2D).(5L*).6s 6L* 6.5
86,11.1168,5.5,-1,id 86 11.1168 4f3.(4I*).5d2.(3F) 6L* 5.5
87,11.3007,4.5,-1,id 87 11.3007 4f3.(4I*).5d2.(3F) 6K* 4.5
88,11.9926,6.5,-1,id 88 11.9926 4f3.(4I*).5d.(2D).(5L*).6s 6L* 6.5
89,12.2815,3.5,-1,id 89 12.2815 4f3.(4I*).5d2.(3F) 6I* 3.5
90,12.3224,5.5,-1,id 90 12.3224 4f3.(4I*).5d.(2D).(5K*).6s 4K* 5.5
91,12.3534,6.5,-1,id 91 12.3534 4f3.(4I*).5d2.(3F) 6L* 6.5
92,12.5184,5.5,-1,id 92 12.5184 4f3.(4I*).5d2.(3F) 6K* 5.5
93,12.8962,3.5,-1,id 93 12.8962 4f3.(4I*).5d.(2D).(5I*).6s 6I* 3.5
94,13.1745,4.5,-1,id 94 13.1745 4f3.(4I*).5d2.(3F) 6I* 4.5
95,13.9273,4.5,-1,id 95 13.9273 4f3.(4I*).5d.(2D).(3I*).6s 4I* 4.5
96,14.0551,3.5,-1,id 96 14.0551 4f3.(4I*).5d2.(1D) 4H* 3.5
97,14.1454,6.5,-1,id 97 14.1454 4f3.(4I*).5d.(2D).(5K*).6s 4K* 6.5
98,15.2158,6.5,-1,id 98 15.2158 4f3.(4I*).5d2.(3F) 4L* 6.5
99,16.3058,4.5,-1,id 99 16.3058 4f3.(4I*).5d2.(3P) 6K* 4.5
100,16.6142,4.5,-1,id 100 16.6142 4f3.(4I*).5d2.(3F) 2H* 4.5
101,17.33,4.5,-1,id 101 17.3300 4f3 4I* 4.5
102,20.6825,4.5,-1,id 102 20.6825 4f3.(4I*).5d2.(1G) 4I* 4.5
103,20.8693,5.5,-1,id 103 20.8693 4f3.(4I*).5d2.(1G) 4K* 5.5
104,20.9456,3.5,-1,id 104 20.9456 4f3.(4I*).5d2.(3P) 4H* 3.5
105,21.1379,2.5,-1,id 105 21.1379 4f3.(4F*).5d.(2D).(5H*).6s 6H* 2.5
106,21.2972,3.5,-1,id 106 21.2972 4f3.(4I*).5d2.(3F) 4F* 3.5
107,21.3231,6.5,-1,id 107 21.3231 4f3.(4I*).5d2.(1G) 4K* 6.5
108,21.3861,3.5,-1,id 108 21.3861 4f3.(4F*).5d2.(3F) 6I* 3.5
109,21.8796,3.5,-1,id 109 21.8796 4f3.(4F*).5d2.(3F) 6I* 3.5
110,21.9677,4.5,-1,id 110 21.9677 4f3.(4I*).5d2.(3P) 4H* 4.5
111,22.1739,4.5,-1,id 111 22.1739 4f3.(4F*).5d.(2D).(5H*).6s 6H* 4.5
112,22.4135,4.5,-1,id 112 22.4135 4f3.(4I*).5d2.(3F) 4F* 4.5
113,22.4321,3.5,-1,id 113 22.4321 4f3.(4I*).5d2.(1G) 4H* 3.5
114,22.5833,6.5,-1,id 114 22.5833 4f3.(4I*).5d2.(1G) 4K* 6.5
115,22.6432,5.5,-1,id 115 22.6432 4f3.(4I*).5d2.(1G) 4I* 5.5
116,22.699,4.5,-1,id 116 22.6990 4f3.(4F*).5d2.(3F) 6I* 4.5
117,22.8975,3.5,-1,id 117 22.8975 4f3.(4I*).5d2.(1G) 4H* 3.5
118,23.1358,5.5,-1,id 118 23.1358 4f3.(4F*).5d.(2D).(5H*).6s 6H* 5.5
119,23.1563,5.5,-1,id 119 23.1563 4f3.(4F*).5d.(2D).(5H*).6s 6H* 5.5
120,23.193,4.5,-1,id 120 23.1930 4f4.(5I).6p 6K* 4.5
121,23.2097,9.5,-1,id 121 23.2097 4f3.(4I*).5d2.(3P) 6K* 9.5
122,23.2177,4.5,-1,id 122 23.2177 4f3.(4I*).5d.(2D).(3G*).6s 2G* 4.5
123,23.3876,3.5,-1,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
124,23.4045,4.5,-1,id 124 23.4045 4f3.(4I*).5d2.(3F) 2G* 4.5
125,23.4135,5.5,-1,id 125 23.4135 4f3.(4F*).5d2.(3F) 6I* 5.5
126,23.4568,5.5,-1,id 126 23.4568 4f3.(4F*).5d2.(3F) 6I* 5.5
127,23.4928,4.5,-1,id 127 23.4928 4f3.(4I*).5d2.(3F) 2G* 4.5
128,23.5145,7.5,-1,id 128 23.5145 4f3.(4I*).5d2.(1G) 4K* 7.5
129,23.7257,4.5,-1,id 129 23.7257 4f3.(4F*).5d.(2D).(5H*).6s 4H* 4.5
130,23.8186,6.5,-1,id 130 23.8186 4f3.(4I*).5d2.(3F) 2I* 6.5
131,23.8482,5.5,-1,id 131 23.8482 4f3.(4I*).5d2.(3P) 4H* 5.5
