wn_calc,gA_calc,upper_lev_id,lower_lev_id
17.8752,12130000,192,20
15.9602,11130000,192,32
22.2456,23560000,196,8
23.6825,23010000,196,5
26.2142,20750000,195,1
25.2757,14060000,195,2
25.2659,357400000,194,2
26.2044,91270000,194,1
18.7964,54650000,194,17
17.3622,26830000,194,24
22.2333,20840000,194,8
25.0575,240700000,193,3
25.2503,176100000,193,2
24.1493,159400000,193,4
18.7808,43530000,193,17
17.3466,29050000,193,24
15.0756,26570000,193,40
23.6546,26800000,193,5
14.9653,12090000,193,41
26.8168,23790000,197,0
26.3188,20540000,197,1
25.1875,11070000,197,3
25.3577,27560000,202,3
24.3576,1018000000,199,4
19.0521,437400000,199,16
22.426,371000000,199,8
23.1521,328900000,199,6
17.9038,152400000,199,21
20.2655,24050000,199,13
16.5813,23220000,199,29
18.9891,10430000,199,17
12.6593,11670000,200,58
25.5164,48860000,201,2
25.3236,17610000,201,3
26.4549,12210000,201,1
22.4861,11370000,201,7
24.4822,87220000,203,4
23.9875,20350000,203,5
26.3198,52120000,198,1
25.3813,37920000,198,2
26.8178,11080000,198,0
25.4043,46450000,204,3
25.5971,30320000,204,2
22.5668,14180000,204,7
24.5252,11750000,205,4
23.3551,129500000,206,6
21.163,86270000,206,11
22.629,34660000,206,8
14.8659,11010000,206,46
25.7268,33350000,208,2
25.534,24260000,208,3
25.6623,75040000,207,2
26.6008,28210000,207,1
25.4695,15760000,207,3
25.6153,17120000,211,3
25.5593,217000000,209,3
25.7521,138900000,209,2
15.5774,26780000,209,40
24.1564,26040000,209,5
19.2826,22670000,209,17
17.8484,15600000,209,24
21.6903,15380000,209,10
14.8531,10950000,209,47
25.8245,182000000,212,2
26.763,152400000,212,1
24.2288,62480000,212,5
25.6317,40320000,212,3
27.261,22830000,212,0
18.0698,16630000,212,23
17.9208,12600000,212,24
15.5395,10100000,212,41
25.7028,137600000,213,3
25.7911,207000000,210,2
24.6901,134900000,210,4
24.1954,102900000,210,5
18.2363,44220000,210,21
16.9138,23180000,210,29
14.3406,22660000,210,51
25.9464,84330000,215,2
26.8849,48240000,215,1
22.9138,16290000,215,8
25.7536,16130000,215,3
26.0256,120600000,218,2
25.8328,22400000,218,3
24.4299,21370000,218,5
