known_levs,known_lev_ids
0,0
0.51333,1
1.470105,2
1.650205,3
2.58546,4
3.066755,5
3.801925,6
4.43756,7
4.512495,8
5.085635,9
5.487655,10
5.98558,11
6.00527,12
6.63743,13
6.9318,14
7.524735,15
7.86891,16
7.95007,17
8.42032,18
8.716445,19
8.796365,20
9.042755,21
9.16621,22
9.19839,23
9.35791,24
9.674835,25
9.908645,26
10.194805,27
10.25604,28
10.3371,29
10.439225,30
10.51679,31
10.666775,32
10.786775,33
10.88325,34
10.941995,35
11.39219,36
11.377565,37
11.373475,38
11.440725,39
11.580855,40
11.70961,41
12.02134,42
12.087155,43
12.09117,44
12.222175,45
12.33423,46
12.276215,47
12.459995,48
12.74761,49
12.87905,50
12.906565,51
12.887085,52
13.29888,53
13.24617,54
13.597865,55
13.703425,56
13.97161,57
14.301805,58
14.25938,59
14.481965,60
14.624775,61
14.957615,62
15.148,63
15.749215,64
15.92326,66
16.29573,67
16.61055,70
17.001525,72
33.56352,75
33.632605,76
33.67062,77
34.6086,78
35.215675,79
35.1335,80
8.00981,81
10.054195,82
10.09136,83
10.720295,84
10.794285,85
11.087765,86
11.310285,87
12.02846,88
12.23269,89
12.331345,90
12.32703,91
12.49128,92
12.86142,93
13.06367,94
13.886975,95
14.07752,96
14.09014,97
15.13519,98
16.37409,99
16.565505,100
20.672575,102
20.90732,103
20.83003,104
21.241075,105
21.291745,106
21.40655,107
21.41125,108
21.87151,109
21.91805,110
22.187645,111
22.455615,112
22.38984,113
22.57816,114
22.69687,115
22.66371,116
22.850545,117
23.12744,118
23.159965,119
23.22998,120
23.29247,121
23.17111,122
23.397365,123
23.40952,124
23.37832,125
23.458945,126
23.53738,127
23.48332,128
23.77103,129
23.802195,130
23.857255,131
23.991405,132
24.0037,133
24.05334,134
24.13408,135
24.24322,136
24.321245,137
24.445385,138
24.418715,139
24.54746,140
24.46802,141
24.685715,142
24.721045,143
24.842865,145
24.797385,146
24.91385,147
25.01491,148
25.044655,149
25.08086,150
25.13854,151
25.120335,152
25.19045,153
25.200905,154
25.235665,155
25.28606,156
25.29527,157
25.39463,158
25.35363,159
25.389205,160
25.352365,161
25.481265,162
25.561195,163
25.52448,164
25.678385,165
25.84434,166
25.87716,167
25.876545,168
26.04119,169
25.77151,170
26.05516,172
26.031475,173
26.116025,174
26.21074,175
26.170795,176
26.182465,177
26.108335,178
26.206805,179
26.274085,181
26.227085,182
26.380715,183
26.32801,184
26.42253,185
26.45519,187
26.473775,188
26.5004,189
26.48915,190
26.583975,191
26.640075,192
26.77208,193
26.7611,194
26.759225,195
26.73879,196
26.79331,197
27.014255,198
26.912765,199
26.92698,201
26.907525,202
26.99189,203
27.06998,204
27.146555,206
27.233525,207
27.17959,208
27.24544,209
27.308935,210
27.244005,211
27.299535,213
27.44452,214
27.352285,215
27.445855,216
27.448705,217
27.425005,218
27.50409,219
27.553505,220
27.51838,221
27.615265,222
27.638665,223
27.611725,224
27.69461,225
27.769425,226
27.72143,227
27.78176,228
27.744185,229
27.816795,230
27.805365,231
27.921385,232
27.923615,233
27.990035,234
27.993235,235
27.992425,236
28.08947,237
27.934515,238
28.17044,239
28.12984,241
28.21386,242
28.29846,243
28.196155,244
28.354405,245
28.28561,246
28.340545,247
28.418975,248
28.52015,251
28.540945,252
28.5826,254
28.56348,255
28.60204,256
28.748515,257
28.729755,258
28.72591,259
28.785075,260
28.856885,261
28.86016,263
28.926235,264
28.89907,265
29.079865,266
29.04345,267
29.036625,268
29.239365,269
29.02753,270
29.08872,271
29.22056,272
29.33672,274
29.26074,275
29.362515,276
29.298625,277
29.425125,278
29.434245,280
29.484595,281
29.52171,282
29.62216,283
29.58187,284
29.70147,286
29.86464,287
29.74237,289
29.76376,290
29.95541,292
30.00231,294
30.09485,296
30.037075,297
30.161615,298
30.24677,299
30.19678,300
30.210705,301
30.29764,302
30.29299,303
30.34834,304
30.30615,307
30.40558,308
30.3938,309
30.57021,310
30.431845,311
30.504085,312
30.45334,313
30.552445,314
30.467345,316
30.62039,317
30.659825,319
30.57183,320
30.70078,321
30.681265,322
30.70728,323
30.691065,324
30.805535,325
30.818335,326
30.95218,327
30.78149,328
30.89373,330
30.89099,331
30.9276,332
30.813105,333
30.995575,334
30.990485,335
31.0695,336
31.08577,338
31.153855,339
31.12894,340
31.25677,341
31.18658,342
31.362115,343
31.179755,344
31.27481,345
31.352005,346
31.405085,347
31.438955,348
31.489105,349
31.514075,350
31.451295,351
31.52863,353
31.61821,354
31.675295,356
31.692995,358
31.834825,360
31.81851,361
31.87813,362
31.84481,363
31.857295,365
31.94465,366
31.900595,368
31.99364,369
32.008575,370
32.19411,371
32.093645,372
32.12344,373
32.09574,374
32.16526,375
32.144445,376
32.19205,377
32.22157,378
32.192795,379
32.25371,380
32.37505,382
32.397555,384
32.42394,386
32.394085,387
32.464635,388
32.44409,389
32.522135,390
32.48273,391
32.60428,392
32.58132,393
32.619945,394
32.65076,395
32.759585,397
32.86484,398
32.671365,399
33.00322,401
32.918175,402
32.905325,403
33.12009,404
33.09772,406
33.19294,408
33.239917,409
33.31387,411
33.26037,412
33.301335,414
33.45286,418
33.31686,419
33.460625,420
33.46464,423
33.5265,424
33.556695,425
33.584425,428
33.64033,434
33.75963,436
33.79268,437
33.82033,438
33.80918,439
33.88423,440
34.001425,444
33.94064,445
33.94418,446
34.08796,449
34.13346,452
34.12782,453
34.119145,454
34.22609,455
34.22718,457
34.3233,459
34.241885,460
34.39993,462
34.33454,465
34.55573,468
34.51586,470
34.52689,471
34.56381,472
34.63223,474
34.689405,475
34.709105,476
34.746565,478
34.81722,482
34.671735,484
34.84107,485
34.89582,489
34.98294,490
